,Unnamed: 0,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,agegroup,EducationLevel,placed
0,19934,2,1,3,3,17,303,135,17,305,288,1724,6,55,1,3,3,0.0
1,58270,2,1,3,3,5,299,61,5,298,282,474,6,41,1,4,3,0.0
2,143862,2,1,3,3,8,16,115,8,16,16,1826,26,119,1,7,2,0.0
3,72890,1,1,3,3,13,414,59,13,410,379,882,1,24,1,3,2,0.0
4,83926,1,1,3,7,7,373,268,7,13,13,466,3,9,1,3,3,1.0
5,23158,2,1,1,4,6,12,33,6,12,12,3430,4,7,1,4,3,1.0
6,135257,1,1,3,3,13,50,59,13,51,194,843,1,24,1,3,2,0.0
7,88586,1,1,3,1,35,630,558,35,628,518,7401,6,41,1,4,3,0.0
8,46030,1,1,1,3,6,8,1513,6,8,8,4692,1,1,1,3,2,1.0
9,74298,1,1,1,3,5,247,385,5,250,151,755,3,9,1,2,2,0.0
10,85455,1,1,1,3,24,463,109,23,508,453,2925,21,111,6,4,2,1.0
11,42785,2,1,4,1,6,17,45,6,17,17,1036,28,63,1,3,2,1.0
12,22461,2,1,4,7,15,173,87,15,170,98,225,3,20,1,2,2,0.0
13,87492,2,1,1,7,3,35,652,3,35,35,1561,4,4,1,2,2,0.0
14,123462,1,1,1,3,16,89,89,16,96,94,2218,5,5,1,3,3,1.0
15,8810,1,1,1,3,8,16,1243,8,91,16,3756,3,9,1,3,3,0.0
16,85237,1,1,3,4,3,62,219,3,398,230,2595,3,9,3,2,3,1.0
17,70683,1,1,3,3,3,69,133,3,68,4,6468,7,11,1,6,2,0.0
18,124824,1,1,3,3,6,79,730,6,77,78,2661,7,62,1,5,2,1.0
19,119656,2,1,3,3,8,80,315,8,78,79,608,5,77,1,2,2,0.0
20,27870,2,1,1,3,6,140,171,6,137,133,626,15,82,1,4,2,1.0
21,77909,2,1,4,3,1,280,45,1,341,317,1162,2,2,1,3,3,1.0
22,17008,2,1,2,2,32,626,386,32,626,338,3109,3,19,1,4,3,1.0
23,98847,1,1,3,3,5,171,912,5,284,158,6125,25,73,1,3,2,1.0
24,118203,1,1,2,3,21,465,99,21,457,262,1144,1,24,1,3,2,1.0
25,51646,1,1,3,3,20,113,45,20,110,107,2341,1,1,1,4,3,1.0
26,136852,2,1,3,3,14,374,247,14,325,309,548,3,44,1,3,2,1.0
27,119475,1,1,1,4,5,259,341,5,179,171,2972,21,53,12,3,5,1.0
28,36077,1,1,3,3,6,47,1978,6,48,47,6439,3,9,1,3,3,0.0
29,63560,1,1,3,3,5,109,296,5,107,104,1964,1,1,1,5,3,0.0
30,57087,2,1,4,3,8,276,310,8,269,258,2308,3,9,1,2,3,1.0
31,21502,1,1,1,1,1,349,318,1,346,231,612,1,1,1,5,2,0.0
32,122575,2,1,1,1,5,165,574,5,163,158,1295,3,3,1,2,3,0.0
